"First Name",Country,ga_first_name,ga_gender,ga_accuracy,ga_samples
Siegfried,China,Siegfried,male,100,3
Shannon,China,Shannon,female,79,58
Phil,China,Phil,male,97,115
Paul,Germany,Paul,male,99,5117
Timothy,USA,Timothy,male,100,9427
Kamil,"Czech Republic",Kamil,male,98,3457
François,"Czech Republic",François,male,100,4
Yi,Australia,Yi,male,57,23
Katrina,Australia,Katrina,female,99,239
Jonathan,Australia,Jonathan,male,100,650
Bernd,Germany,Bernd,male,99,6529
Zhimin,China,Zhimin,male,73,26
Martyn,"New Zealand",Martyn,male,100,17
Rui,"New Zealand",Rui,male,83,6
Christophe,"New Zealand",Christophe,male,100,3
Lanqun,China,,,,
Sang,"Republic of Korea",Sang,male,88,2448
Bo,China,Bo,male,88,316
Jairton,Portugal,Jairton,male,75,4
Samir,USA,Samir,male,100,3378
Jianji,USA,Jianji,male,75,4
Ulrich,Germany,Ulrich,male,99,1577
Qiang,China,Qiang,male,98,373
Zhuangzhi,China,,,,
Varinder,UK,Varinder,male,94,496
Jong,"South Korea",Jong,male,99,355
Weilin,China,Weilin,male,73,11
Qi-Lin,China,Qi,male,73,234
Elias,Netherlands,Elias,male,98,93
Shu-Li,China,Li,male,68,1023
Johannes,Germany,Johannes,male,99,3611
Christian,Sweden,Christian,male,100,48300
Lele,USA,Lele,female,81,68
Junbai,China,Junbai,male,75,4
Hiroshi,Japan,Hiroshi,male,99,1448
Jiangtao,China,Jiangtao,male,100,20
Yoshiaki,Japan,Yoshiaki,male,99,286
James,UK,James,male,99,131879
Jan,UK,Jan,male,92,104026
Chen,China,Chen,male,61,2046
Herbert,Germany,Herbert,male,98,1663
Manfred,Germany,Manfred,male,99,5121
Sheng,USA,Sheng,male,67,55
Eugene,USA,Eugene,male,99,2015
Christian,USA,Christian,male,100,48214
Andreas,China,Andreas,male,100,46
Song,China,Song,male,100,74
Feng,China,Feng,male,82,850
Alexandr,Spain,Alexandr,male,92,36
Michito,Finland,Michito,male,100,11
Moonhyun,Korea,Moonhyun,male,67,3
Haoxing,China,Haoxing,male,75,4
Xinchen,China,Xinchen,male,75,4
Martin,"Czech Republic",Martin,male,98,41861
Reiner,Germany,Reiner,male,99,1289
Peter,Germany,Peter,male,99,21321
Frédéric,France,Frédéric,male,98,8946
Marina,Germany,Marina,female,98,2981
Phillip,USA,Phillip,male,100,4684
Joe,Canada,Joe,male,99,1193
Pedro,Portugal,Pedro,male,99,31516
Jieping,Switzerland,Jieping,female,67,3
Wen-Jing,China,Jing,female,78,1267
Dmitry,Spain,Dmitry,male,96,48
François,Switzerland,François,male,99,355
Stephen,UK,Stephen,male,99,46085
Stefan,China,Stefan,male,100,66
Rene,Germany,Rene,male,99,5907
Shigeki,Japan,Shigeki,male,100,108
Weiping,USA,Weiping,male,75,8
Alexander,USA,Alexander,male,100,6939
Hanbin,Japan,Hanbin,male,75,4
Otto,Japan,Otto,male,67,3
Zhongmin,China,Zhongmin,male,100,6
Eric,USA,Eric,male,100,31662
Corey,Canada,Corey,male,96,457
Masahiro,Japan,Masahiro,male,100,703
Ping,China,Ping,female,57,434
Shuang,Germany,Shuang,female,75,4
Guang,"Saudi Arabia",Guang,male,93,234
Junbai,China,Junbai,male,75,4
Qian,USA,Qian,female,61,95
Rolf,Switzerland,Rolf,male,99,804
Jutta,France,Jutta,female,100,15
Dorian,France,Dorian,male,98,2148
Masakatsu,Japan,Masakatsu,male,97,29
David,Croatia,David,male,99,197
Liu-Zhu,China,Zhu,male,61,457
Hideo,Japan,Hideo,male,100,210
Mohammad,Switzerland,Mohammad,male,100,49
Aurelio,Spain,Aurelio,male,98,714
Paul,Switzerland,Paul,male,98,968
Kana,India,Kana,male,85,26
Xiao-Bing,China,Bing,male,71,379
Xinliang,Germany,Xinliang,male,71,7
Xiaoyu,China,Xiaoyu,female,53,179
Bin,China,Bin,male,92,677
Young,"Republic of Korea",Young,male,100,51
Feng,China,Feng,male,82,850
Magnus,"Saudi Arabia",Magnus,male,100,3
Gernot,"Saudi Arabia",Gernot,male,99,579
Huaping,China,Huaping,male,100,3
Shi-Jian,China,Jian,male,93,610
Li-Wen,China,Li,male,68,1023
Rodney,"Republic of Korea",Rodney,male,99,5408
Jiaobing,China,,,,
Lukas,Germany,Lukas,male,100,3730
Thomas,Germany,Thomas,male,99,27141
Matthew,Germany,Matthew,male,99,616
Rik,Canada,Rik,male,100,24
David,Australia,David,male,100,4352
Sven,UK,Sven,male,99,19537
Fred,Germany,Fred,male,98,1136
Gerhard,Germany,Gerhard,male,99,2024
Wolfgang,Germany,Wolfgang,male,99,7880
Mathias,Germany,Mathias,male,98,2842
Xingwei,China,Xingwei,male,100,4
Paul,USA,Paul,male,100,28746
Yu-Guo,China,Yu,male,73,664
Rei,Singapore,Rei,female,82,11
Minghua,China,Minghua,female,73,48
Wilson,Netherlands,Wilson,male,100,62
James,USA,James,male,100,47200
Yi,China,Yi,male,73,459
Douglas,Canada,Douglas,male,100,411
Jieping,Switzerland,Jieping,female,67,3
Yue,USA,Yue,female,60,139
Xue-Feng,China,Feng,male,82,850
Christof,Germany,Christof,male,99,501
Andrew,UK,Andrew,male,99,82448
Alois,Germany,Alois,male,96,303
Johannes,Germany,Johannes,male,99,3611
Paul,Germany,Paul,male,99,5117
Alexander,Netherlands,Alexander,male,99,918
Xiaoming,China,Xiaoming,male,84,105
Kimihisa,Japan,Kimihisa,male,75,4
Hiroshi,USA,Hiroshi,male,100,56
Satoru,Germany,Satoru,male,100,3
Olivier,Ireland,Olivier,male,100,62
Makoto,Japan,Makoto,male,97,995
Robert,USA,Robert,male,100,43118
Elena,Denmark,Elena,female,100,62
Ryan,Germany,Ryan,male,99,358
Jana,Netherlands,Jana,female,94,120
Bin,China,Bin,male,92,677
Olga,Germany,Olga,female,97,1426
Minghua,China,Minghua,female,73,48
Jiulin,China,,,,
Jeroen,Germany,Jeroen,male,100,40
Xavier,Canada,Xavier,male,99,141
Zhan-Ting,China,Ting,female,81,465
Dan,China,Dan,female,56,578
Omar,USA,Omar,male,99,3202
Xiong,Singapore,Xiong,male,100,8
Jeremy,Spain,Jeremy,male,97,245
Manuel,Germany,Manuel,male,99,5956
Marc,France,Marc,male,98,27772
Sjoerd,Germany,Sjoerd,male,100,5
Hailong,China,Hailong,male,97,36
Suhrit,India,Suhrit,male,100,14
Lars,Germany,Lars,male,100,4773
Martin,"Czech Republic",Martin,male,98,41861
Jingsong,China,Jingsong,male,80,5
Gang,USA,,,,
Yan-Hong,China,Yan,female,69,1535
Qiang,China,Qiang,male,98,373
Paolo,Italy,Paolo,male,99,54131
David,Israel,David,male,99,1241
Yan,USA,Yan,male,63,365
Yiyun,China,Yiyun,female,69,13
Zhaohui,China,Zhaohui,male,68,19
Nikolai,Germany,Nikolai,male,99,280
François,Switzerland,François,male,99,355
Yue-Sheng,China,Sheng,male,91,230
Chuan-De,China,Chuan,male,84,101
Jurriaan,Germany,Jurriaan,male,97,76
Baoshan,China,Baoshan,male,75,4
Minghong,Taiwan,Minghong,male,100,3
Lianzhou,Australia,Lianzhou,male,75,4
Huanting,Australia,Huanting,male,75,4
Shouheng,USA,Shouheng,male,75,4
William,UK,William,male,99,67797
Itamar,UK,Itamar,male,95,804
Cordula,UK,Cordula,female,98,255
Sébastien,France,Sébastien,male,99,15658
Yun,China,Yun,female,53,415
Bing-Feng,China,Feng,male,82,850
Thalappil,India,,,,
Di,China,Di,male,73,98
Jie,"Republic of Korea",Jie,male,61,1651
Boris,France,Boris,male,98,2761
Tom,Netherlands,Tom,male,99,3073
Hansgeorg,Germany,Hansgeorg,male,100,6
Roland,Canada,Roland,male,99,167
Alexander,Australia,Alexander,male,99,379
Javier,Switzerland,Javier,male,98,176
Argyris,UK,Argyris,male,98,175
Athinarayanan,UK,Athinarayanan,male,100,6
Yanlin,China,Yanlin,female,68,19
Ajayan,India,Ajayan,male,100,69
David,"South Korea",David,male,99,994
Chengqi,China,Chengqi,male,75,4
Wee,Singapore,Wee,male,80,60
Nanfeng,China,Nanfeng,male,75,4
Luis,Spain,Luis,male,99,43667
Uwe,Japan,Uwe,male,75,4
Zhibing,China,Zhibing,male,100,3
Johannes,Germany,Johannes,male,99,3611
Severin,USA,Severin,male,97,29
Zhang,China,Zhang,male,61,1870
Amelie,Germany,Amelie,female,98,234
Xiaowei,China,Xiaowei,male,64,101
Sankar,USA,Sankar,male,100,47
Bartosz,"South Korea",Bartosz,male,100,7087
Yonggui,China,Yonggui,female,75,4
Erick,Switzerland,Erick,male,100,42
Yoann,China,Yoann,male,100,3
Andreu,Colombia,Andreu,male,75,4
Emilio,Italy,Emilio,male,99,3924
Dario,Switzerland,Dario,male,99,746
