First Name,Country,ga_first_name,ga_gender,ga_accuracy,ga_samples
Shaobin,CHINA,Shaobin,male,100,3
Malte,GERMANY,Malte,male,99,980
Chunsheng,UNITED,Chunsheng,male,83,12
Yanlin,CHINA,Yanlin,female,68,19
Shelley,GERMANY,Shelley,female,69,13
Chi-Ming,HONG,Chi-Ming,male,100,7
Yuping,CHINA,Yuping,female,67,21
Kazuaki,JAPAN,Kazuaki,male,100,140
Yunjie,CANADA,Yunjie,male,57,23
Sergiy,UNITED,Sergiy,male,99,665
Davide,ITALY,Davide,male,99,42786
Xiu-Ping,CHINA,Xiu,female,80,35
Daniel,SWEDEN,Daniel,male,99,6702
Christian,AUSTRIA,Christian,male,100,48300
Paul,AUSTRALIA,Paul,male,100,2694
Xuan,CHINA,Xuan,female,55,208
Timothy,USA,Timothy,male,100,9427
Hongjie,China,Hongjie,male,67,18
Li-Jun,CHINA,Jun,male,83,1190
Yohann,FRANCE,Yohann,male,98,4462
Hiroki,CHINA,Hiroki,male,100,7
Wei,UNITED,Wei,male,73,4003
Igor,UNITED,Igor,male,99,31134
Zhonghua,AUSTRALIA,Zhonghua,male,82,38
Chan,REPUBLIC,Chan,male,67,4404
María,SPAIN,María,female,98,9881
Oren,UNITED,Oren,male,96,678
Limin,CHINA,Limin,male,69,36
Michael,UNITED,Michael,male,99,211741
Daniel,POLAND,Daniel,male,99,11038
Yukihiro,JAPAN,Yukihiro,male,99,135
Marina,UNITED,Marina,female,98,57740
Andrew,UNITED,Andrew,male,99,82448
Samantha,UNITED,Samantha,female,98,35715
Hai-Chao,CHINA,Chao,male,88,554
Michio,JAPAN,Michio,male,97,67
James,GERMANY,James,male,98,1248
Eric,USA,Eric,male,100,31662
Keiji,JAPAN,Keiji,male,100,185
Andreas,Germany,Andreas,male,99,21215
Paul,CANADA,Paul,male,100,3145
Alina,UNITED,Alina,female,98,22455
Hiroyuki,JAPAN,Hiroyuki,male,100,955
Adrian,GERMANY,Adrian,male,99,2156
Xiao-Wu,CHINA,Wu,male,75,353
Wenping,CHINA,Wenping,female,58,12
Xiaoxin,CHINA,Xiaoxin,male,52,29
Scott,UNITED,Scott,male,100,48262
Kai,CHINA,Kai,male,95,430
Rebecca,UNITED,Rebecca,female,99,35211
De-En,UNITED,De-En,male,70,5818
Hao,CHINA,Hao,male,89,723
Yanguang,CHINA,Yanguang,unknown,50,4
Lutz,GERMANY,Lutz,male,99,1566
Yiming,UNITED,Yiming,male,85,137
Barbara,GERMANY,Barbara,female,98,3709
Guangcheng,CHINA,Guangcheng,male,100,7
Ashley,UNITED,Ashley,female,84,40088
Chuanlai,CHINA,,,,
Jun,CHINA,Jun,male,83,1190
Matthias,GERMANY,Matthias,male,100,9451
Christopher,UNITED,Christopher,male,99,55041
Hongyu,CHINA,Hongyu,male,71,51
James,UNITED,James,male,99,131879
Kaifeng,CHINA,Kaifeng,male,92,12
Liangnian,CHINA,,,,
Xinhe,CHINA,Xinhe,male,75,4
Stefan,GERMANY,Stefan,male,97,20127
Maksym,SWITZERLAND,Maksym,male,100,4
Yiwang,CHINA,Yiwang,male,100,4
Noalle,ISRAEL,,,,
Xugang,CHINA,Xugang,male,100,4
Doron,HONG,Doron,male,97,429
Dirk,FRANCE,Dirk,male,100,61
Dayang,CHINA,Dayang,male,80,5
Zai-Sheng,CANADA,Sheng,male,100,7
Ryan,NETHERLANDS,Ryan,male,98,455
Matthias,GERMANY,Matthias,male,100,9451
Hiroyuki,JAPAN,Hiroyuki,male,100,955
Gong,CHINA,Gong,male,73,90
