"First Name",Country,ga_first_name,ga_gender,ga_accuracy,ga_samples
Craig,USA,Craig,male,100,9154
Carsten,USA,Carsten,male,98,57
Eric,USA,Eric,male,100,31662
Michael,USA,Michael,male,100,65535
Stanley,UK,Stanley,male,99,9310
Carol,USA,Carol,female,99,8347
Muriel,Spain,Muriel,female,97,100
Michael,USA,Michael,male,100,65535
Stuart,USA,Stuart,male,99,2086
Stewart,USA,Stewart,male,100,3874
Michael,UK,Michael,male,99,211741
Julie,UK,Julie,female,98,72376
Mark,USA,Mark,male,100,47989
Stuart,USA,Stuart,male,99,2086
Lynne,USA,Lynne,female,99,1374
Xi,USA,Xi,female,61,98
Silvia,USA,Silvia,female,95,1236
James,USA,James,male,100,47200
Christopher,USA,Christopher,male,100,26017
Mark,USA,Mark,male,100,47989
Craig,USA,Craig,male,100,9154
Suzanne,USA,Suzanne,female,99,3865
Merritt,USA,Merritt,male,53,153
Hugh,USA,Hugh,male,100,849
James,USA,James,male,100,47200
Yoshio,USA,Yoshio,male,100,21
Richard,USA,Richard,male,100,24609
Brian,USA,Brian,male,100,40133
Marc,USA,Marc,male,100,6334
Hiroaki,Japan,Hiroaki,male,100,501
Keith,Japan,Keith,male,93,55
Keith,USA,Keith,male,100,10807
Hang,USA,,,,
Katsumi,USA,Katsumi,male,60,15
Yoshio,USA,Yoshio,male,100,21
Ronen,USA,Ronen,male,100,36
Barbara,USA,Barbara,female,99,10328
John,USA,John,male,100,65535
Thomas,USA,Thomas,male,100,20215
Aseem,USA,Aseem,male,100,27
James,USA,James,male,100,47200
Lynne,USA,Lynne,female,99,1374
Carsten,USA,Carsten,male,98,57
Ronald,USA,Ronald,male,100,5168
S,USA,,,,
Kevin,USA,Kevin,male,100,35080
Hiroaki,Japan,Hiroaki,male,100,501
Nathanael,USA,Nathanael,male,100,4316
Laura,USA,Laura,female,99,21696
Victor,USA,Victor,male,100,6752
Dudley,UK,Dudley,male,96,332
Stephen,USA,Stephen,male,100,16681
Charles,USA,Charles,male,100,15822
Dehua,USA,Dehua,male,77,13
Hiroaki,Japan,Hiroaki,male,100,501
Derek,"United Kingdom",Derek,male,99,2995
Lingchong,USA,Lingchong,male,75,4
Richard,USA,Richard,male,100,24609
Sue,USA,Sue,female,99,4663
Jay,USA,Jay,male,95,11771
Pamela,USA,Pamela,female,99,6656
Cees,USA,Cees,male,80,5
